Training set losses. Units: meV (U), meV/Å (F), meV (σ), % (R2)
    Step |      Loss |   U R2 |     U MAE |    U RMSE |   F R2 |     F MAE |    F RMSE
  744930 |  6.19e-04 |     -- |  6.17e+00 |  8.30e+00 |     -- |  2.28e+01 |  3.42e+01
  748935 |  5.99e-04 |     -- |  4.42e+00 |  6.13e+00 |     -- |  2.27e+01 |  3.41e+01
  752940 |  5.65e-04 |     -- |  5.46e+00 |  7.09e+00 |     -- |  2.19e+01 |  3.29e+01
  756945 |  5.92e-04 |     -- |  5.29e+00 |  7.03e+00 |     -- |  2.23e+01 |  3.37e+01
  760950 |  5.99e-04 |     -- |  5.41e+00 |  7.16e+00 |     -- |  2.25e+01 |  3.39e+01
  764955 |  5.80e-04 |     -- |  4.84e+00 |  6.58e+00 |     -- |  2.23e+01 |  3.34e+01
  768960 |  6.09e-04 |     -- |  5.45e+00 |  7.41e+00 |     -- |  2.25e+01 |  3.41e+01
  772965 |  5.64e-04 |     -- |  5.16e+00 |  7.01e+00 |     -- |  2.20e+01 |  3.28e+01
  776970 |  5.95e-04 |     -- |  6.49e+00 |  8.62e+00 |     -- |  2.23e+01 |  3.34e+01
  780975 |  5.61e-04 |     -- |  5.56e+00 |  6.98e+00 |     -- |  2.22e+01 |  3.28e+01
  784980 |  5.71e-04 |     -- |  4.82e+00 |  6.27e+00 |     -- |  2.23e+01 |  3.32e+01
  788985 |  6.46e-04 |     -- |  5.01e+00 |  7.08e+00 |     -- |  2.30e+01 |  3.52e+01
  792990 |  5.64e-04 |     -- |  5.80e+00 |  7.47e+00 |     -- |  2.22e+01 |  3.28e+01
  796995 |  5.98e-04 |     -- |  5.21e+00 |  6.82e+00 |     -- |  2.25e+01 |  3.39e+01
  801000 |  6.13e-04 |     -- |  5.07e+00 |  6.78e+00 |     -- |  2.27e+01 |  3.44e+01
  805005 |  5.73e-04 |     -- |  4.52e+00 |  6.10e+00 |     -- |  2.22e+01 |  3.33e+01
  809010 |  5.73e-04 |     -- |  4.93e+00 |  6.56e+00 |     -- |  2.18e+01 |  3.32e+01
  813015 |  6.17e-04 |     -- |  5.93e+00 |  7.69e+00 |     -- |  2.26e+01 |  3.43e+01
  817020 |  5.83e-04 |     -- |  4.93e+00 |  6.59e+00 |     -- |  2.23e+01 |  3.35e+01
  821025 |  5.80e-04 |     -- |  5.71e+00 |  7.56e+00 |     -- |  2.21e+01 |  3.32e+01
  825030 |  5.38e-04 |     -- |  5.14e+00 |  6.76e+00 |     -- |  2.17e+01 |  3.21e+01
  829035 |  5.88e-04 |     -- |  5.13e+00 |  6.89e+00 |     -- |  2.21e+01 |  3.36e+01
  833040 |  6.12e-04 |     -- |  5.10e+00 |  6.89e+00 |     -- |  2.26e+01 |  3.43e+01
  837045 |  5.87e-04 |     -- |  5.20e+00 |  7.05e+00 |     -- |  2.21e+01 |  3.35e+01
  841050 |  5.02e-04 |     -- |  5.14e+00 |  6.80e+00 |     -- |  2.09e+01 |  3.09e+01
  845055 |  6.15e-04 |     -- |  4.74e+00 |  6.38e+00 |     -- |  2.27e+01 |  3.45e+01
  849060 |  5.23e-04 |     -- |  4.90e+00 |  6.36e+00 |     -- |  2.13e+01 |  3.17e+01
  853065 |  5.45e-04 |     -- |  4.34e+00 |  5.74e+00 |     -- |  2.15e+01 |  3.25e+01
  857070 |  6.19e-04 |     -- |  4.43e+00 |  5.95e+00 |     -- |  2.27e+01 |  3.47e+01
  861075 |  5.41e-04 |     -- |  5.42e+00 |  7.03e+00 |     -- |  2.17e+01 |  3.21e+01
  865080 |  5.12e-04 |     -- |  5.40e+00 |  6.97e+00 |     -- |  2.11e+01 |  3.12e+01
  869085 |  5.59e-04 |     -- |  5.77e+00 |  7.42e+00 |     -- |  2.18e+01 |  3.26e+01
  873090 |  5.26e-04 |     -- |  4.97e+00 |  6.69e+00 |     -- |  2.09e+01 |  3.17e+01
  877095 |  5.29e-04 |     -- |  4.55e+00 |  6.13e+00 |     -- |  2.14e+01 |  3.19e+01
